archivo	nombre	palabras
perim-r1c4	BeamSensor	sensor haz barrera fotoeléctrica cruce
perim-r1c5	GuardDogSign	señal perro guardián advertencia canino
perim-r2c2	PatrolRoute	ronda recorrido patrullaje puntos control
perim-r2c3	PatrolCar	patrulla vehículo policía rondín
perim-r3c1	CameraHousing	gabinete cámara carcasa intemperie montaje
perim-r3c2	LockedShed	caseta bodega asegurada candado resguardo
perim-r3c3	NoEntrySign	prohibido el paso restringido señal peatón
perim-r3c4	HazardTape	cinta peligro acordonar delimitar precaución
perim-r3c5	EmergencyExit	salida emergencia evacuación ruta escape
perim-r4c5	TrafficCone	cono tránsito señalamiento delimitar vía
cumpl-r1c2	Policy	política reglamento norma pergamino lineamiento
cumpl-r1c3	LockedChest	cofre resguardo caja asegurada custodia
cumpl-r1c5	LockedCase	maletín asegurado portafolios candado traslado
cumpl-r2c1	ChainedFolder	expediente encadenado retención bloqueo legal
cumpl-r3c3	Certificate	certificado constancia diploma sello listón
cumpl-r3c5	ComplianceCheck	cumplimiento verificado lista escudo conforme
cumpl-r4c5	EmbossingSeal	sello seco relieve troquel notarial
monit-r1c2	MonitorAlert	monitoreo alerta señal anomalía pantalla
monit-r1c3	Radar	radar barrido rastreo detección pantalla
monit-r1c4	LogConsole	bitácora consola registro líneas eventos
monit-r1c5	WatchEye	vigilancia ojo observación supervisión mira
monit-r2c1	Crosshair	mira retícula puntería objetivo enfoque
monit-r2c2	SpikeChart	pico anomalía salto gráfica alerta
monit-r2c3	BlockedWorld	bloqueo geográfico región restringida mundo
monit-r2c4	Router	enrutador módem inalámbrico wifi antena
monit-r2c5	SwitchSecure	conmutador protegido switch red escudo
monit-r3c1	NetworkNodes	topología nodos red enlaces malla
monit-r3c4	Heartbeat	latido pulso disponibilidad monitoreo señal
monit-r3c5	Uptime	tiempo activo disponibilidad reloj escudo
monit-r4c1	BreachWall	brecha muro roto vulneración grieta
foren-r1c2	EvidenceBag	bolsa evidencia indicio embalaje cadena custodia
foren-r1c4	VideoReview	revisión video reproducir persona secuencia
foren-r1c5	FrameSequence	cuadros secuencia fotogramas comparar video
foren-r2c1	Lens	lente objetivo óptica cámara acercamiento
foren-r2c2	PrintFolder	expediente huellas carpeta dactilar
foren-r2c5	ChainLink	cadena custodia eslabón vínculo enlace
foren-r3c1	EvidenceBoard	tablero indicios hilos relación investigación
foren-r3c2	UnknownPerson	persona desconocida silueta anónimo sospechoso
foren-r3c3	MapPins	marcadores mapa puntos incidencias ubicaciones
foren-r3c4	Timeline	línea tiempo cronología secuencia hechos
foren-r4c1	Enhance	realzar mejorar aclarar imagen varita
foren-r4c4	EvidenceCase	maleta peritaje estuche herramientas campo
